	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
1889.813	17.6833	-102.35006	10.061	10	22.4587	34.6155	26.9057	0.4299	6.59E-01	1.10E+02	198.756	3.6939	0.0236	0.00E+00
2036.942	17.68328	-102.35006	9.054	9	22.334	34.6554	27.3899	0.4301	6.23E-01	1.28E+02	197.487	0.5793	0.0952	0.00E+00
2054.895	17.68328	-102.35006	8.048	8	22.3297	34.6567	27.4059	0.4296	5.97E-01	1.50E+02	197.251	0.4435	0.0697	0.00E+00
2055.833	17.68328	-102.35006	7.042	7	22.3331	34.6569	27.3957	0.4298	5.85E-01	1.50E+02	197.078	0.7045	0.0044	0.00E+00
2057.901	17.68328	-102.35006	6.036	6	22.3347	34.6569	27.3906	0.433	5.80E-01	1.66E+02	197.532	3.6173	0.0025	0.00E+00
2060.149	17.68328	-102.35006	5.03	5	22.333	34.6565	27.3944	0.4316	5.78E-01	1.82E+02	198.327	4.4201	0.0024	0.00E+00
2062.881	17.68328	-102.35006	4.024	4	22.3306	34.6567	27.4022	0.4317	5.98E-01	1.94E+02	198.116	4.4189	0.0024	0.00E+00
2067.958	17.68328	-102.35006	3.018	3	22.3274	34.6568	27.4121	0.4282	5.49E-01	2.11E+02	197.326	4.4192	0.0024	0.00E+00
2071.213	17.68328	-102.35006	2.012	2	22.3325	34.6571	27.3968	0.4292	5.31E-01	2.42E+02	197.607	4.4194	0.0024	0.00E+00
2084.387	17.68328	-102.35005	1.006	1	22.3269	34.6569	27.4136	0.4316	5.27E-01	6.36E+02	198.03	4.4208	0.0629	0.00E+00
