				depth		Salinity	Temp 							
995.999	10.00002	-112.99997	97.571	97	25.9517	34.767	14.275	0.3533	1.86E+00	6.34E-01	-0.418	0.6806	0.0012	0.00E+00
997.579	10.00002	-112.99998	96.563	96	25.9109	34.7544	14.4213	0.3555	1.42E+00	6.93E-01	-0.512	0.6664	0.0012	0.00E+00
998.668	10.00002	-112.99998	95.567	95	25.9463	34.7764	14.3349	0.3569	1.61E+00	7.62E-01	-0.238	0.6785	0.0012	0.00E+00
1000.438	10.00002	-112.99998	94.559	94	25.9124	34.7644	14.4502	0.3574	2.05E+00	8.61E-01	-0.339	0.6821	0.0011	0.00E+00
1002.917	10.00002	-112.99998	93.548	93	25.882	34.7584	14.5701	0.3622	2.84E+00	9.49E-01	-0.174	0.6862	0.0012	0.00E+00
1004.827	10.00002	-112.99998	92.545	92	25.885	34.7628	14.5722	0.3632	2.56E+00	1.02E+00	-0.346	0.6795	0.0011	0.00E+00
1006.577	10.00002	-112.99998	91.535	91	25.8788	34.7658	14.6117	0.3652	1.95E+00	1.11E+00	-0.203	0.6884	0.0012	0.00E+00
1007.912	10.00002	-112.99998	90.531	90	25.7504	34.7437	15.1216	0.3653	2.01E+00	1.22E+00	0.674	0.6846	0.0649	0.00E+00
1009.395	10.00002	-112.99998	89.53	89	25.6766	34.7249	15.3904	0.3692	2.14E+00	1.33E+00	0.803	0.6926	0.1015	0.00E+00
1012.755	10.00002	-112.99998	88.517	88	25.5959	34.7114	15.7033	0.3625	1.88E+00	1.50E+00	1.319	0.6966	0.1046	0.00E+00
1015.228	10.00002	-112.99998	87.511	87	25.5989	34.7145	15.7011	0.3593	1.65E+00	1.62E+00	1.129	0.6978	0.1048	0.00E+00
1016.372	10.00002	-112.99998	86.507	86	25.6038	34.7238	15.7103	0.3616	1.65E+00	1.78E+00	1.39	0.6934	0.1048	0.00E+00
1017.498	10.00002	-112.99998	85.504	85	25.5408	34.7089	15.9383	0.359	2.06E+00	1.99E+00	2.141	0.6943	0.1047	0.00E+00
1018.998	10.00002	-112.99998	84.497	84	25.4579	34.6947	16.2515	0.3605	2.73E+00	2.21E+00	3.103	0.7003	0.1046	0.00E+00
1021.184	10.00002	-112.99998	83.492	83	25.3312	34.6696	16.7123	0.3633	2.66E+00	2.44E+00	6.703	0.7079	0.1047	0.00E+00
1026.282	10.00002	-112.99998	82.472	82	25.093	34.615	17.5388	0.3692	2.26E+00	2.80E+00	10.021	0.7539	0.1046	0.00E+00
1027.164	10.00002	-112.99996	81.47	81	25.1777	34.6568	17.3198	0.3694	1.84E+00	2.98E+00	11.893	0.7043	0.1046	0.00E+00
1028.006	10.00002	-112.99996	80.473	80	25.0526	34.6118	17.6948	0.3665	1.86E+00	3.23E+00	15.534	0.7186	0.1048	0.00E+00
1028.925	10.00002	-112.99997	79.473	79	24.9561	34.5883	18.016	0.366	2.07E+00	3.55E+00	17.532	0.7407	0.1046	0.00E+00
1031.59	10.00002	-112.99997	78.46	78	24.8781	34.574	18.287	0.3657	2.10E+00	3.95E+00	19.564	0.7444	0.1046	0.00E+00
1034.465	10.00002	-112.99996	77.452	77	24.8344	34.5656	18.4372	0.3628	1.97E+00	4.29E+00	21.451	0.7518	0.1047	0.00E+00
1036.604	10.00002	-112.99996	76.448	76	24.7747	34.5539	18.6392	0.363	2.04E+00	4.57E+00	24.38	0.7528	0.089	0.00E+00
1039.162	10.00002	-112.99996	75.436	75	24.7536	34.5538	18.7231	0.3577	1.45E+00	4.67E+00	23.088	0.8089	-0.0043	0.00E+00
1040.487	10.00002	-112.99996	74.436	74	24.8171	34.5762	18.5377	0.3613	1.53E+00	4.77E+00	25.233	0.946	0.0011	0.00E+00
1042.482	10.00002	-112.99996	73.43	73	24.7577	34.5574	18.7171	0.3591	1.98E+00	5.11E+00	24.702	1.1842	0.0011	0.00E+00
1044.908	10.00002	-112.99996	72.418	72	24.7552	34.5629	18.7434	0.3537	1.82E+00	5.91E+00	27.761	1.4335	0.0011	0.00E+00
1046.341	10.00002	-112.99996	71.418	71	24.7098	34.5451	18.8696	0.3562	1.81E+00	6.73E+00	26.053	1.5416	0.0011	0.00E+00
